UID	Encoding	Code
BA	ISO-3166-1-n	070
BB	ISO-3166-1-n	052
BD	ISO-3166-1-n	050
BE	ISO-3166-1-n	056
BF	ISO-3166-1-n	854
BG	ISO-3166-1-n	100
BH	ISO-3166-1-n	048
BI	ISO-3166-1-n	108
BJ	ISO-3166-1-n	204
BL	ISO-3166-1-n	652
BM	ISO-3166-1-n	060
BN	ISO-3166-1-n	096
BO	ISO-3166-1-n	068
BQ	ISO-3166-1-n	535
BR	ISO-3166-1-n	076
BS	ISO-3166-1-n	044
BT	ISO-3166-1-n	064
BV	ISO-3166-1-n	074
BW	ISO-3166-1-n	072
BY	ISO-3166-1-n	112
BZ	ISO-3166-1-n	084
CA	ISO-3166-1-n	124
CC	ISO-3166-1-n	166
CD	ISO-3166-1-n	180
CF	ISO-3166-1-n	140
CG	ISO-3166-1-n	178
CH	ISO-3166-1-n	756
CI	ISO-3166-1-n	384
CK	ISO-3166-1-n	184
CL	ISO-3166-1-n	152
CM	ISO-3166-1-n	120
CN	ISO-3166-1-n	156
CO	ISO-3166-1-n	170
CR	ISO-3166-1-n	188
CU	ISO-3166-1-n	192
CV	ISO-3166-1-n	132
CW	ISO-3166-1-n	531
CX	ISO-3166-1-n	162
CY	ISO-3166-1-n	196
CZ	ISO-3166-1-n	203
DE	ISO-3166-1-n	276
DJ	ISO-3166-1-n	262
DK	ISO-3166-1-n	208
DM	ISO-3166-1-n	212
DO	ISO-3166-1-n	214
DZ	ISO-3166-1-n	012
EC	ISO-3166-1-n	218
EE	ISO-3166-1-n	233
EG	ISO-3166-1-n	818
EH	ISO-3166-1-n	732
ER	ISO-3166-1-n	232
ES	ISO-3166-1-n	724
ET	ISO-3166-1-n	231
FI	ISO-3166-1-n	246
FJ	ISO-3166-1-n	242
FK	ISO-3166-1-n	238
FM	ISO-3166-1-n	583
FO	ISO-3166-1-n	234
FR	ISO-3166-1-n	250
GA	ISO-3166-1-n	266
GB	ISO-3166-1-n	826
GD	ISO-3166-1-n	308
GE	ISO-3166-1-n	268
GF	ISO-3166-1-n	254
GG	ISO-3166-1-n	831
GH	ISO-3166-1-n	288
GI	ISO-3166-1-n	292
GL	ISO-3166-1-n	304
GM	ISO-3166-1-n	270
GN	ISO-3166-1-n	324
GP	ISO-3166-1-n	312
GQ	ISO-3166-1-n	226
GR	ISO-3166-1-n	300
GS	ISO-3166-1-n	239
GT	ISO-3166-1-n	320
GU	ISO-3166-1-n	316
GW	ISO-3166-1-n	624
GY	ISO-3166-1-n	328
HK	ISO-3166-1-n	344
HM	ISO-3166-1-n	334
HN	ISO-3166-1-n	340
HR	ISO-3166-1-n	191
HT	ISO-3166-1-n	332
HU	ISO-3166-1-n	348
ID	ISO-3166-1-n	360
IE	ISO-3166-1-n	372
IL	ISO-3166-1-n	376
IM	ISO-3166-1-n	833
IN	ISO-3166-1-n	356
IO	ISO-3166-1-n	086
IQ	ISO-3166-1-n	368
IR	ISO-3166-1-n	364
IS	ISO-3166-1-n	352
IT	ISO-3166-1-n	380
JE	ISO-3166-1-n	832
JM	ISO-3166-1-n	388
JO	ISO-3166-1-n	400
JP	ISO-3166-1-n	392
KE	ISO-3166-1-n	404
KG	ISO-3166-1-n	417
KH	ISO-3166-1-n	116
KI	ISO-3166-1-n	296
KM	ISO-3166-1-n	174
KN	ISO-3166-1-n	659
KP	ISO-3166-1-n	408
KR	ISO-3166-1-n	410
KW	ISO-3166-1-n	414
KY	ISO-3166-1-n	136
KZ	ISO-3166-1-n	398
LA	ISO-3166-1-n	418
LB	ISO-3166-1-n	422
LC	ISO-3166-1-n	662
LI	ISO-3166-1-n	438
LK	ISO-3166-1-n	144
LR	ISO-3166-1-n	430
LS	ISO-3166-1-n	426
LT	ISO-3166-1-n	440
LU	ISO-3166-1-n	442
LV	ISO-3166-1-n	428
LY	ISO-3166-1-n	434
MA	ISO-3166-1-n	504
MC	ISO-3166-1-n	492
MD	ISO-3166-1-n	498
ME	ISO-3166-1-n	499
MF	ISO-3166-1-n	663
MG	ISO-3166-1-n	450
MH	ISO-3166-1-n	584
MK	ISO-3166-1-n	807
ML	ISO-3166-1-n	466
MM	ISO-3166-1-n	104
MN	ISO-3166-1-n	496
MO	ISO-3166-1-n	446
MP	ISO-3166-1-n	580
MQ	ISO-3166-1-n	474
MR	ISO-3166-1-n	478
MS	ISO-3166-1-n	500
MT	ISO-3166-1-n	470
MU	ISO-3166-1-n	480
MV	ISO-3166-1-n	462
MW	ISO-3166-1-n	454
MX	ISO-3166-1-n	484
MY	ISO-3166-1-n	458
MZ	ISO-3166-1-n	508
NA	ISO-3166-1-n	516
NC	ISO-3166-1-n	540
NE	ISO-3166-1-n	562
NF	ISO-3166-1-n	574
NG	ISO-3166-1-n	566
NI	ISO-3166-1-n	558
NL	ISO-3166-1-n	528
NO	ISO-3166-1-n	578
NP	ISO-3166-1-n	524
NR	ISO-3166-1-n	520
NU	ISO-3166-1-n	570
NZ	ISO-3166-1-n	554
OM	ISO-3166-1-n	512
PA	ISO-3166-1-n	591
PE	ISO-3166-1-n	604
PF	ISO-3166-1-n	258
PG	ISO-3166-1-n	598
PH	ISO-3166-1-n	608
PK	ISO-3166-1-n	586
PL	ISO-3166-1-n	616
PM	ISO-3166-1-n	666
PN	ISO-3166-1-n	612
PS	ISO-3166-1-n	275
PT	ISO-3166-1-n	620
PW	ISO-3166-1-n	585
PY	ISO-3166-1-n	600
QA	ISO-3166-1-n	634
RE	ISO-3166-1-n	638
RO	ISO-3166-1-n	642
RS	ISO-3166-1-n	688
RU	ISO-3166-1-n	643
RW	ISO-3166-1-n	646
SA	ISO-3166-1-n	682
SB	ISO-3166-1-n	090
SC	ISO-3166-1-n	690
SD	ISO-3166-1-n	729
SE	ISO-3166-1-n	752
SX	ISO-3166-1-n	534
SH	ISO-3166-1-n	654
SI	ISO-3166-1-n	705
SJ	ISO-3166-1-n	744
SK	ISO-3166-1-n	703
SL	ISO-3166-1-n	694
SM	ISO-3166-1-n	674
SN	ISO-3166-1-n	686
SO	ISO-3166-1-n	706
SR	ISO-3166-1-n	740
SS	ISO-3166-1-n	728
ST	ISO-3166-1-n	678
SV	ISO-3166-1-n	222
SY	ISO-3166-1-n	760
SZ	ISO-3166-1-n	748
TC	ISO-3166-1-n	796
TD	ISO-3166-1-n	148
TF	ISO-3166-1-n	260
TG	ISO-3166-1-n	768
TH	ISO-3166-1-n	764
TJ	ISO-3166-1-n	762
TK	ISO-3166-1-n	772
TL	ISO-3166-1-n	626
TM	ISO-3166-1-n	795
TN	ISO-3166-1-n	788
TO	ISO-3166-1-n	776
TR	ISO-3166-1-n	792
TT	ISO-3166-1-n	780
TV	ISO-3166-1-n	798
TW	ISO-3166-1-n	158
TZ	ISO-3166-1-n	834
UA	ISO-3166-1-n	804
UG	ISO-3166-1-n	800
UM	ISO-3166-1-n	581
US	ISO-3166-1-n	840
UY	ISO-3166-1-n	858
UZ	ISO-3166-1-n	860
VA	ISO-3166-1-n	336
VC	ISO-3166-1-n	670
VE	ISO-3166-1-n	862
VG	ISO-3166-1-n	092
VI	ISO-3166-1-n	850
VN	ISO-3166-1-n	704
VU	ISO-3166-1-n	548
WF	ISO-3166-1-n	876
WS	ISO-3166-1-n	882
YE	ISO-3166-1-n	887
YT	ISO-3166-1-n	175
ZA	ISO-3166-1-n	710
ZM	ISO-3166-1-n	894
ZW	ISO-3166-1-n	716
AD-02	ISO-3166-2	AD-02
AD-03	ISO-3166-2	AD-03
AD-04	ISO-3166-2	AD-04
AD-05	ISO-3166-2	AD-05
AD-06	ISO-3166-2	AD-06
AD-07	ISO-3166-2	AD-07
AD-08	ISO-3166-2	AD-08
AE-AJ	ISO-3166-2	AE-AJ
AE-AZ	ISO-3166-2	AE-AZ
AE-DU	ISO-3166-2	AE-DU
AE-FU	ISO-3166-2	AE-FU
AE-RK	ISO-3166-2	AE-RK
AE-SH	ISO-3166-2	AE-SH
AE-UQ	ISO-3166-2	AE-UQ
AF-BAL	ISO-3166-2	AF-BAL
AF-BAM	ISO-3166-2	AF-BAM
AF-BDG	ISO-3166-2	AF-BDG
AF-BDS	ISO-3166-2	AF-BDS
AF-BGL	ISO-3166-2	AF-BGL
AF-DAY	ISO-3166-2	AF-DAY
AF-FRA	ISO-3166-2	AF-FRA
AF-FYB	ISO-3166-2	AF-FYB
AF-GHA	ISO-3166-2	AF-GHA
AF-GHO	ISO-3166-2	AF-GHO
AF-HEL	ISO-3166-2	AF-HEL
AF-HER	ISO-3166-2	AF-HER
AF-JOW	ISO-3166-2	AF-JOW
AF-KAB	ISO-3166-2	AF-KAB
AF-KAN	ISO-3166-2	AF-KAN
AF-KAP	ISO-3166-2	AF-KAP
AF-KDZ	ISO-3166-2	AF-KDZ
AF-KHO	ISO-3166-2	AF-KHO
AF-KNR	ISO-3166-2	AF-KNR
AF-LAG	ISO-3166-2	AF-LAG
